front,back
"Was sind die Grundsätze ordnungsmäßiger Buchführung?</vorn>
","1. Klarheit und Eindeutigkeit, 2. Vollständigkeit, 3. Richtigkeit, 4. Verlässlichkeit, 5. Ordnungsmäßige Aufbewahrung und Dokumentation, 6. Zeitnahe Erfassung</hinten>

<vorn>Was bedeutet der Grundsatz ""Klarheit und Eindeutigkeit"" in der Buchführung?</vorn>
<hinten>Es bedeutet, dass alle Buchungsvorgänge eindeutig und klar verständlich dokumentiert werden müssen.</hinten>

<vorn>Nenne einen weiteren Grundsatz ordnungsmäßiger Buchführung.</vorn>
<hinten>Die Richtigkeit, also die korrekte Erfassung und Verbuchung aller Geschäftsvorfälle.</hinten>

<vorn>Was bedeutet der Grundsatz ""Ordnungsmäßige Aufbewahrung und Dokumentation""?</vorn>
<hinten>Es bedeutet, dass alle Unterlagen und Belege ordnungsgemäß aufbewahrt und dokumentiert werden müssen, damit sie im Bedarfsfall nachvollziehbar sind.</hinten>"
"Was bedeutet der Grundsatz ""Klarheit und Eindeutigkeit"" in der Buchführung?</vorn>
","Es bedeutet, dass alle Buchungsvorgänge eindeutig und klar verständlich dokumentiert werden müssen.</hinten>

<vorn>Nenne einen weiteren Grundsatz ordnungsmäßiger Buchführung.</vorn>
<hinten>Die Richtigkeit, also die korrekte Erfassung und Verbuchung aller Geschäftsvorfälle.</hinten>

<vorn>Was bedeutet der Grundsatz ""Ordnungsmäßige Aufbewahrung und Dokumentation""?</vorn>
<hinten>Es bedeutet, dass alle Unterlagen und Belege ordnungsgemäß aufbewahrt und dokumentiert werden müssen, damit sie im Bedarfsfall nachvollziehbar sind.</hinten>"
"Nenne einen weiteren Grundsatz ordnungsmäßiger Buchführung.</vorn>
","Die Richtigkeit, also die korrekte Erfassung und Verbuchung aller Geschäftsvorfälle.</hinten>

<vorn>Was bedeutet der Grundsatz ""Ordnungsmäßige Aufbewahrung und Dokumentation""?</vorn>
<hinten>Es bedeutet, dass alle Unterlagen und Belege ordnungsgemäß aufbewahrt und dokumentiert werden müssen, damit sie im Bedarfsfall nachvollziehbar sind.</hinten>"
"Was bedeutet der Grundsatz ""Ordnungsmäßige Aufbewahrung und Dokumentation""?</vorn>
","Es bedeutet, dass alle Unterlagen und Belege ordnungsgemäß aufbewahrt und dokumentiert werden müssen, damit sie im Bedarfsfall nachvollziehbar sind.</hinten>"
"Was sind die Grundsätze ordnungsmäßiger Buchführung?</vorn>
","Die Grundsätze ordnungsmäßiger Buchführung bezeichnen die Normen, die die gesetzlichen Jahresabschlussaufgaben konkretisieren.</hinten>

<vorn>Welche rechtlichen Grundlagen gibt es für die Erstellung von Inventar, Bilanz und Gewinn- und Verlustrechnung?</vorn>
<hinten>Die rechtlichen Grundlagen für die Erstellung von Inventar, Bilanz und Gewinn- und Verlustrechnung sind in § 243 Abs. 1 HGB festgelegt.</hinten>

<vorn>Was besagt die Generalklausel des § 243 Abs. 1 HGB?</vorn>
<hinten>Die Generalklausel des § 243 Abs. 1 HGB besagt, dass der Jahresabschluss die Grundlagen für das Verständnis der Vermögens-, Finanz- und Ertragslage eines Unternehmens vermitteln muss.</hinten>

<vorn>Was ist das Vorsichtsprinzip?</vorn>
<hinten>Das Vorsichtsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden eher vorsichtig und konservativ vorgegangen werden sollte, um mögliche Verluste frühzeitig zu berücksichtigen.</hinten>

<vorn>Was ist das Realisationsprinzip?</vorn>
<hinten>Das Realisationsprinzip besagt, dass Erträge nur dann in der Gewinn- und Verlustrechnung erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich verwertbar sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass Verluste in der Bilanz bereits dann zu berücksichtigen sind, wenn sie absehbar sind, während Gewinne erst dann erfasst werden dürfen, wenn sie realisiert sind.</hinten>"
"Welche rechtlichen Grundlagen gibt es für die Erstellung von Inventar, Bilanz und Gewinn- und Verlustrechnung?</vorn>
","Die rechtlichen Grundlagen für die Erstellung von Inventar, Bilanz und Gewinn- und Verlustrechnung sind in § 243 Abs. 1 HGB festgelegt.</hinten>

<vorn>Was besagt die Generalklausel des § 243 Abs. 1 HGB?</vorn>
<hinten>Die Generalklausel des § 243 Abs. 1 HGB besagt, dass der Jahresabschluss die Grundlagen für das Verständnis der Vermögens-, Finanz- und Ertragslage eines Unternehmens vermitteln muss.</hinten>

<vorn>Was ist das Vorsichtsprinzip?</vorn>
<hinten>Das Vorsichtsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden eher vorsichtig und konservativ vorgegangen werden sollte, um mögliche Verluste frühzeitig zu berücksichtigen.</hinten>

<vorn>Was ist das Realisationsprinzip?</vorn>
<hinten>Das Realisationsprinzip besagt, dass Erträge nur dann in der Gewinn- und Verlustrechnung erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich verwertbar sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass Verluste in der Bilanz bereits dann zu berücksichtigen sind, wenn sie absehbar sind, während Gewinne erst dann erfasst werden dürfen, wenn sie realisiert sind.</hinten>"
"Was besagt die Generalklausel des § 243 Abs. 1 HGB?</vorn>
","Die Generalklausel des § 243 Abs. 1 HGB besagt, dass der Jahresabschluss die Grundlagen für das Verständnis der Vermögens-, Finanz- und Ertragslage eines Unternehmens vermitteln muss.</hinten>

<vorn>Was ist das Vorsichtsprinzip?</vorn>
<hinten>Das Vorsichtsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden eher vorsichtig und konservativ vorgegangen werden sollte, um mögliche Verluste frühzeitig zu berücksichtigen.</hinten>

<vorn>Was ist das Realisationsprinzip?</vorn>
<hinten>Das Realisationsprinzip besagt, dass Erträge nur dann in der Gewinn- und Verlustrechnung erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich verwertbar sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass Verluste in der Bilanz bereits dann zu berücksichtigen sind, wenn sie absehbar sind, während Gewinne erst dann erfasst werden dürfen, wenn sie realisiert sind.</hinten>"
"Was ist das Vorsichtsprinzip?</vorn>
","Das Vorsichtsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden eher vorsichtig und konservativ vorgegangen werden sollte, um mögliche Verluste frühzeitig zu berücksichtigen.</hinten>

<vorn>Was ist das Realisationsprinzip?</vorn>
<hinten>Das Realisationsprinzip besagt, dass Erträge nur dann in der Gewinn- und Verlustrechnung erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich verwertbar sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass Verluste in der Bilanz bereits dann zu berücksichtigen sind, wenn sie absehbar sind, während Gewinne erst dann erfasst werden dürfen, wenn sie realisiert sind.</hinten>"
"Was ist das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Erträge nur dann in der Gewinn- und Verlustrechnung erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich verwertbar sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass Verluste in der Bilanz bereits dann zu berücksichtigen sind, wenn sie absehbar sind, während Gewinne erst dann erfasst werden dürfen, wenn sie realisiert sind.</hinten>"
"Was ist das Imparitätsprinzip?</vorn>
","Das Imparitätsprinzip besagt, dass Verluste in der Bilanz bereits dann zu berücksichtigen sind, wenn sie absehbar sind, während Gewinne erst dann erfasst werden dürfen, wenn sie realisiert sind.</hinten>"
"Was regelt die Generalnorm des § 243 Abs. 1 HGB?</vorn>
","Die Generalnorm regelt, dass der Jahresabschluss nach den Grundsätzen ordnungsmäßiger Buchführung aufzustellen ist.</hinten>

<vorn>Was sind die Kennzeichen von Generalklauseln?</vorn>
<hinten>Die Kennzeichen von Generalklauseln sind ein geringerer Präzisionsgrad, ein weiterer Geltungsbereich und eine geringere Bindungswirkung.</hinten>

<vorn>Was sind die Grundsätze ordnungsmäßiger Buchführung?</vorn>
<hinten>Die Grundsätze ordnungsmäßiger Buchführung (GoB) sind eine Generalklausel, die der Verhaltenssteuerung der Rechnungslegenden dient. Es gibt kodifizierte und nicht kodifizierte GoB.</hinten>

<vorn>Welche Beispiele gibt es für kodifizierte GoB?</vorn>
<hinten>Beispiele für kodifizierte GoB sind das Vorsichtsprinzip, das Realisationsprinzip und das Imparitätsprinzip (§ 252 Abs. 1 Nr. 4 HGB).</hinten>

<vorn>Was ist ein Beispiel für nicht kodifizierte GoB?</vorn>
<hinten>Ein Beispiel für nicht kodifizierte GoB ist das Prinzip der wirtschaftlichen Betrachtungsweise.</hinten>"
"Was sind die Kennzeichen von Generalklauseln?</vorn>
","Die Kennzeichen von Generalklauseln sind ein geringerer Präzisionsgrad, ein weiterer Geltungsbereich und eine geringere Bindungswirkung.</hinten>

<vorn>Was sind die Grundsätze ordnungsmäßiger Buchführung?</vorn>
<hinten>Die Grundsätze ordnungsmäßiger Buchführung (GoB) sind eine Generalklausel, die der Verhaltenssteuerung der Rechnungslegenden dient. Es gibt kodifizierte und nicht kodifizierte GoB.</hinten>

<vorn>Welche Beispiele gibt es für kodifizierte GoB?</vorn>
<hinten>Beispiele für kodifizierte GoB sind das Vorsichtsprinzip, das Realisationsprinzip und das Imparitätsprinzip (§ 252 Abs. 1 Nr. 4 HGB).</hinten>

<vorn>Was ist ein Beispiel für nicht kodifizierte GoB?</vorn>
<hinten>Ein Beispiel für nicht kodifizierte GoB ist das Prinzip der wirtschaftlichen Betrachtungsweise.</hinten>"
"Was sind die Grundsätze ordnungsmäßiger Buchführung?</vorn>
","Die Grundsätze ordnungsmäßiger Buchführung (GoB) sind eine Generalklausel, die der Verhaltenssteuerung der Rechnungslegenden dient. Es gibt kodifizierte und nicht kodifizierte GoB.</hinten>

<vorn>Welche Beispiele gibt es für kodifizierte GoB?</vorn>
<hinten>Beispiele für kodifizierte GoB sind das Vorsichtsprinzip, das Realisationsprinzip und das Imparitätsprinzip (§ 252 Abs. 1 Nr. 4 HGB).</hinten>

<vorn>Was ist ein Beispiel für nicht kodifizierte GoB?</vorn>
<hinten>Ein Beispiel für nicht kodifizierte GoB ist das Prinzip der wirtschaftlichen Betrachtungsweise.</hinten>"
"Welche Beispiele gibt es für kodifizierte GoB?</vorn>
","Beispiele für kodifizierte GoB sind das Vorsichtsprinzip, das Realisationsprinzip und das Imparitätsprinzip (§ 252 Abs. 1 Nr. 4 HGB).</hinten>

<vorn>Was ist ein Beispiel für nicht kodifizierte GoB?</vorn>
<hinten>Ein Beispiel für nicht kodifizierte GoB ist das Prinzip der wirtschaftlichen Betrachtungsweise.</hinten>"
"Was ist ein Beispiel für nicht kodifizierte GoB?</vorn>
",Ein Beispiel für nicht kodifizierte GoB ist das Prinzip der wirtschaftlichen Betrachtungsweise.</hinten>
"Was sind die Grundsätze ordnungsmäßiger Buchführung?</vorn>
","Die Grundsätze ordnungsmäßiger Buchführung (GoB) sind Regeln, nach denen die Buchführung eines Unternehmens strukturiert und dokumentiert werden muss.</hinten>

<vorn>Was besagt das Vorsichtsprinzip?</vorn>
<hinten>Das Vorsichtsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden mögliche Verluste berücksichtigt werden müssen, während mögliche Gewinne erst erfasst werden, wenn sie realisiert sind.</hinten>

<vorn>Was ist das Realisationsprinzip?</vorn>
<hinten>Das Realisationsprinzip besagt, dass Erträge erst erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich eingetreten sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden immer der niedrigere Wert zwischen Anschaffungskosten und Veräußerungswert angesetzt werden muss.</hinten>

<vorn>Was besagt das Objektivierungsprinzip?</vorn>
<hinten>Das Objektivierungsprinzip besagt, dass die Buchführung auf objektiven und nachvollziehbaren Grundsätzen basieren muss.</hinten>

<vorn>Was besagt das Anschaffungskostenprinzip?</vorn>
<hinten>Das Anschaffungskostenprinzip besagt, dass Vermögensgegenstände mit den Anschaffungskosten bewertet und in der Buchführung erfasst werden müssen.</hinten>

<vorn>Was ist das Stichtagsprinzip?</vorn>
<hinten>Das Stichtagsprinzip besagt, dass der Wert der Vermögensgegenstände und Schulden eines Unternehmens zum Bilanzstichtag ermittelt und dokumentiert werden muss.</hinten>

<vorn>Was ist das Verlustfreier-Stichtagsprinzip?</vorn>
<hinten>Das Verlustfreier-Stichtagsprinzip besagt, dass Verluste bereits dann erfasst werden müssen, wenn sie zum Bilanzstichtag wahrscheinlich sind, auch wenn sie erst in der Zukunft tatsächlich eintreten.</hinten>

<vorn>Was besagt das Periodisierungsprinzip?</vorn>
<hinten>Das Periodisierungsprinzip besagt, dass Erträge und Aufwendungen dem Zeitraum zugeordnet werden müssen, in dem sie wirtschaftlich verursacht wurden, unabhängig davon, wann sie tatsächlich gezahlt oder erhalten wurden.</hinten>

<vorn>Was ist das Einzelbewertungsprinzip?</vorn>
<hinten>Das Einzelbewertungsprinzip besagt, dass jeder einzelne Vermögensgegenstand und jede einzelne Schuld gesondert bewertet und erfasst werden müssen.</hinten>

<vorn>Was ist das Prinzip der Bildung von Drohverlustrückstellungen?</vorn>
<hinten>Das Prinzip der Bildung von Drohverlustrückstellungen besagt, dass Rückstellungen für mögliche Verluste gebildet werden müssen, wenn eine drohende Verlustsituation erkennbar ist, auch wenn der Verlust noch nicht eingetreten ist.</hinten>

<vorn>Was besagt das Fortführungsprinzip?</vorn>
<hinten>Das Fortführungsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden davon ausgegangen wird, dass das Unternehmen seine Tätigkeit fortsetzen wird, es sei denn, es gibt Hinweise auf das Gegenteil.</hinten>

<vorn>Was besagt das Stetigkeitsprinzip?</vorn>
<hinten>Das Stetigkeitsprinzip besagt, dass in der Buchführung einmal gewählte Bewertungs- und Bewertungsmethoden möglichst konstant beibehalten werden sollten, um Vergleichbarkeit und Kontinuität zu gewährleisten.</hinten>"
"Was besagt das Vorsichtsprinzip?</vorn>
","Das Vorsichtsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden mögliche Verluste berücksichtigt werden müssen, während mögliche Gewinne erst erfasst werden, wenn sie realisiert sind.</hinten>

<vorn>Was ist das Realisationsprinzip?</vorn>
<hinten>Das Realisationsprinzip besagt, dass Erträge erst erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich eingetreten sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden immer der niedrigere Wert zwischen Anschaffungskosten und Veräußerungswert angesetzt werden muss.</hinten>

<vorn>Was besagt das Objektivierungsprinzip?</vorn>
<hinten>Das Objektivierungsprinzip besagt, dass die Buchführung auf objektiven und nachvollziehbaren Grundsätzen basieren muss.</hinten>

<vorn>Was besagt das Anschaffungskostenprinzip?</vorn>
<hinten>Das Anschaffungskostenprinzip besagt, dass Vermögensgegenstände mit den Anschaffungskosten bewertet und in der Buchführung erfasst werden müssen.</hinten>

<vorn>Was ist das Stichtagsprinzip?</vorn>
<hinten>Das Stichtagsprinzip besagt, dass der Wert der Vermögensgegenstände und Schulden eines Unternehmens zum Bilanzstichtag ermittelt und dokumentiert werden muss.</hinten>

<vorn>Was ist das Verlustfreier-Stichtagsprinzip?</vorn>
<hinten>Das Verlustfreier-Stichtagsprinzip besagt, dass Verluste bereits dann erfasst werden müssen, wenn sie zum Bilanzstichtag wahrscheinlich sind, auch wenn sie erst in der Zukunft tatsächlich eintreten.</hinten>

<vorn>Was besagt das Periodisierungsprinzip?</vorn>
<hinten>Das Periodisierungsprinzip besagt, dass Erträge und Aufwendungen dem Zeitraum zugeordnet werden müssen, in dem sie wirtschaftlich verursacht wurden, unabhängig davon, wann sie tatsächlich gezahlt oder erhalten wurden.</hinten>

<vorn>Was ist das Einzelbewertungsprinzip?</vorn>
<hinten>Das Einzelbewertungsprinzip besagt, dass jeder einzelne Vermögensgegenstand und jede einzelne Schuld gesondert bewertet und erfasst werden müssen.</hinten>

<vorn>Was ist das Prinzip der Bildung von Drohverlustrückstellungen?</vorn>
<hinten>Das Prinzip der Bildung von Drohverlustrückstellungen besagt, dass Rückstellungen für mögliche Verluste gebildet werden müssen, wenn eine drohende Verlustsituation erkennbar ist, auch wenn der Verlust noch nicht eingetreten ist.</hinten>

<vorn>Was besagt das Fortführungsprinzip?</vorn>
<hinten>Das Fortführungsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden davon ausgegangen wird, dass das Unternehmen seine Tätigkeit fortsetzen wird, es sei denn, es gibt Hinweise auf das Gegenteil.</hinten>

<vorn>Was besagt das Stetigkeitsprinzip?</vorn>
<hinten>Das Stetigkeitsprinzip besagt, dass in der Buchführung einmal gewählte Bewertungs- und Bewertungsmethoden möglichst konstant beibehalten werden sollten, um Vergleichbarkeit und Kontinuität zu gewährleisten.</hinten>"
"Was ist das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Erträge erst erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich eingetreten sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden immer der niedrigere Wert zwischen Anschaffungskosten und Veräußerungswert angesetzt werden muss.</hinten>

<vorn>Was besagt das Objektivierungsprinzip?</vorn>
<hinten>Das Objektivierungsprinzip besagt, dass die Buchführung auf objektiven und nachvollziehbaren Grundsätzen basieren muss.</hinten>

<vorn>Was besagt das Anschaffungskostenprinzip?</vorn>
<hinten>Das Anschaffungskostenprinzip besagt, dass Vermögensgegenstände mit den Anschaffungskosten bewertet und in der Buchführung erfasst werden müssen.</hinten>

<vorn>Was ist das Stichtagsprinzip?</vorn>
<hinten>Das Stichtagsprinzip besagt, dass der Wert der Vermögensgegenstände und Schulden eines Unternehmens zum Bilanzstichtag ermittelt und dokumentiert werden muss.</hinten>

<vorn>Was ist das Verlustfreier-Stichtagsprinzip?</vorn>
<hinten>Das Verlustfreier-Stichtagsprinzip besagt, dass Verluste bereits dann erfasst werden müssen, wenn sie zum Bilanzstichtag wahrscheinlich sind, auch wenn sie erst in der Zukunft tatsächlich eintreten.</hinten>

<vorn>Was besagt das Periodisierungsprinzip?</vorn>
<hinten>Das Periodisierungsprinzip besagt, dass Erträge und Aufwendungen dem Zeitraum zugeordnet werden müssen, in dem sie wirtschaftlich verursacht wurden, unabhängig davon, wann sie tatsächlich gezahlt oder erhalten wurden.</hinten>

<vorn>Was ist das Einzelbewertungsprinzip?</vorn>
<hinten>Das Einzelbewertungsprinzip besagt, dass jeder einzelne Vermögensgegenstand und jede einzelne Schuld gesondert bewertet und erfasst werden müssen.</hinten>

<vorn>Was ist das Prinzip der Bildung von Drohverlustrückstellungen?</vorn>
<hinten>Das Prinzip der Bildung von Drohverlustrückstellungen besagt, dass Rückstellungen für mögliche Verluste gebildet werden müssen, wenn eine drohende Verlustsituation erkennbar ist, auch wenn der Verlust noch nicht eingetreten ist.</hinten>

<vorn>Was besagt das Fortführungsprinzip?</vorn>
<hinten>Das Fortführungsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden davon ausgegangen wird, dass das Unternehmen seine Tätigkeit fortsetzen wird, es sei denn, es gibt Hinweise auf das Gegenteil.</hinten>

<vorn>Was besagt das Stetigkeitsprinzip?</vorn>
<hinten>Das Stetigkeitsprinzip besagt, dass in der Buchführung einmal gewählte Bewertungs- und Bewertungsmethoden möglichst konstant beibehalten werden sollten, um Vergleichbarkeit und Kontinuität zu gewährleisten.</hinten>"
"Was ist das Imparitätsprinzip?</vorn>
","Das Imparitätsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden immer der niedrigere Wert zwischen Anschaffungskosten und Veräußerungswert angesetzt werden muss.</hinten>

<vorn>Was besagt das Objektivierungsprinzip?</vorn>
<hinten>Das Objektivierungsprinzip besagt, dass die Buchführung auf objektiven und nachvollziehbaren Grundsätzen basieren muss.</hinten>

<vorn>Was besagt das Anschaffungskostenprinzip?</vorn>
<hinten>Das Anschaffungskostenprinzip besagt, dass Vermögensgegenstände mit den Anschaffungskosten bewertet und in der Buchführung erfasst werden müssen.</hinten>

<vorn>Was ist das Stichtagsprinzip?</vorn>
<hinten>Das Stichtagsprinzip besagt, dass der Wert der Vermögensgegenstände und Schulden eines Unternehmens zum Bilanzstichtag ermittelt und dokumentiert werden muss.</hinten>

<vorn>Was ist das Verlustfreier-Stichtagsprinzip?</vorn>
<hinten>Das Verlustfreier-Stichtagsprinzip besagt, dass Verluste bereits dann erfasst werden müssen, wenn sie zum Bilanzstichtag wahrscheinlich sind, auch wenn sie erst in der Zukunft tatsächlich eintreten.</hinten>

<vorn>Was besagt das Periodisierungsprinzip?</vorn>
<hinten>Das Periodisierungsprinzip besagt, dass Erträge und Aufwendungen dem Zeitraum zugeordnet werden müssen, in dem sie wirtschaftlich verursacht wurden, unabhängig davon, wann sie tatsächlich gezahlt oder erhalten wurden.</hinten>

<vorn>Was ist das Einzelbewertungsprinzip?</vorn>
<hinten>Das Einzelbewertungsprinzip besagt, dass jeder einzelne Vermögensgegenstand und jede einzelne Schuld gesondert bewertet und erfasst werden müssen.</hinten>

<vorn>Was ist das Prinzip der Bildung von Drohverlustrückstellungen?</vorn>
<hinten>Das Prinzip der Bildung von Drohverlustrückstellungen besagt, dass Rückstellungen für mögliche Verluste gebildet werden müssen, wenn eine drohende Verlustsituation erkennbar ist, auch wenn der Verlust noch nicht eingetreten ist.</hinten>

<vorn>Was besagt das Fortführungsprinzip?</vorn>
<hinten>Das Fortführungsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden davon ausgegangen wird, dass das Unternehmen seine Tätigkeit fortsetzen wird, es sei denn, es gibt Hinweise auf das Gegenteil.</hinten>

<vorn>Was besagt das Stetigkeitsprinzip?</vorn>
<hinten>Das Stetigkeitsprinzip besagt, dass in der Buchführung einmal gewählte Bewertungs- und Bewertungsmethoden möglichst konstant beibehalten werden sollten, um Vergleichbarkeit und Kontinuität zu gewährleisten.</hinten>"
