front,back
"Wie werden die Umsatzerlöse aus Produktion gebucht?</vorn>
","Die Umsatzerlöse aus Produktion werden durch eine Buchung auf dem Konto ""Erlöse"" erfasst.</hinten>"
"Was besagt das Realisationsprinzip VI?</vorn>
","Einnahmen aus Umsätzen, die später zufließen, sind Ertrag und bis zum Zuflusszeitpunkt zu aktivieren.</hinten>

<vorn>Welche Auswirkungen hat das Realisationsprinzip VI?</vorn>
<hinten>Einnahmen werden erst dann als Ertrag verbucht, wenn der Geldzufluss erfolgt ist.</hinten>

<vorn>Geben Sie ein Beispiel für die Anwendung des Realisationsprinzips VI.</vorn>
<hinten>Eine Forderung aus einer Warenlieferung wird erst als Ertrag verbucht, wenn das Geld von dem Kunden eingegangen ist.</hinten>

<vorn>Was passiert mit den Einnahmen, die erst später zufließen?</vorn>
<hinten>Sie werden bis zum Zuflusszeitpunkt aktiviert, d.h. als Forderung in der Bilanz ausgewiesen.</hinten>"
"Welche Auswirkungen hat das Realisationsprinzip VI?</vorn>
","Einnahmen werden erst dann als Ertrag verbucht, wenn der Geldzufluss erfolgt ist.</hinten>

<vorn>Geben Sie ein Beispiel für die Anwendung des Realisationsprinzips VI.</vorn>
<hinten>Eine Forderung aus einer Warenlieferung wird erst als Ertrag verbucht, wenn das Geld von dem Kunden eingegangen ist.</hinten>

<vorn>Was passiert mit den Einnahmen, die erst später zufließen?</vorn>
<hinten>Sie werden bis zum Zuflusszeitpunkt aktiviert, d.h. als Forderung in der Bilanz ausgewiesen.</hinten>"
"Geben Sie ein Beispiel für die Anwendung des Realisationsprinzips VI.</vorn>
","Eine Forderung aus einer Warenlieferung wird erst als Ertrag verbucht, wenn das Geld von dem Kunden eingegangen ist.</hinten>

<vorn>Was passiert mit den Einnahmen, die erst später zufließen?</vorn>
<hinten>Sie werden bis zum Zuflusszeitpunkt aktiviert, d.h. als Forderung in der Bilanz ausgewiesen.</hinten>"
"Was passiert mit den Einnahmen, die erst später zufließen?</vorn>
","Sie werden bis zum Zuflusszeitpunkt aktiviert, d.h. als Forderung in der Bilanz ausgewiesen.</hinten>"
"Was besagt das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Erträge und Aufwendungen erst dann in der Buchführung erfasst werden dürfen, wenn sie realisiert sind.</hinten>

<vorn>Was bedeutet es, wenn eine Forderung aus Warenlieferung beglichen wird?</vorn>
<hinten>Wenn eine Forderung aus Warenlieferung beglichen wird, bedeutet dies, dass der Kunde die offene Rechnung bezahlt hat.</hinten>

<vorn>Welchen Buchungssatz verwendet man, um die Begleichung einer Forderung aus Warenlieferung zu erfassen?</vorn>
<hinten>Der Buchungssatz lautet: Kasse an Forderung</hinten>"
"Was bedeutet es, wenn eine Forderung aus Warenlieferung beglichen wird?</vorn>
","Wenn eine Forderung aus Warenlieferung beglichen wird, bedeutet dies, dass der Kunde die offene Rechnung bezahlt hat.</hinten>

<vorn>Welchen Buchungssatz verwendet man, um die Begleichung einer Forderung aus Warenlieferung zu erfassen?</vorn>
<hinten>Der Buchungssatz lautet: Kasse an Forderung</hinten>"
"Welchen Buchungssatz verwendet man, um die Begleichung einer Forderung aus Warenlieferung zu erfassen?</vorn>
",Der Buchungssatz lautet: Kasse an Forderung</hinten>
"Was besagt das Realisationsprinzip VIII?</vorn>
","Zukünftige Ausgaben, die auf realisierten Umsätzen lasten, sind als Aufwand im Umsatzzeitpunkt zu passivieren.</hinten>

<vorn>Welches Beispiel wird oft zur Veranschaulichung des Realisationsprinzips VIII verwendet?</vorn>
<hinten>Die Gewährleistungsverpflichtung aus dem Verkauf einer Maschine.</hinten>"
"Welches Beispiel wird oft zur Veranschaulichung des Realisationsprinzips VIII verwendet?</vorn>
",Die Gewährleistungsverpflichtung aus dem Verkauf einer Maschine.</hinten>
"Was besagt das Realisationsprinzip in der Buchführung?</vorn>
","Das Realisationsprinzip besagt, dass Erträge und Aufwendungen in der Buchführung erst erfasst werden dürfen, wenn sie realisiert sind.</hinten>

<vorn>Was bedeutet es, wenn eine Gewährleistungsverpflichtung erfüllt werden muss?</vorn>
<hinten>Wenn eine Gewährleistungsverpflichtung erfüllt werden muss, bedeutet dies, dass das Unternehmen für Fehler oder Mängel in seinen verkauften Produkten haftet und diese beheben oder den Kaufpreis zurückerstatten muss.</hinten>

<vorn>Wie wird eine Gewährleistungsverpflichtung in der Buchführung erfasst?</vorn>
<hinten>Eine Gewährleistungsverpflichtung wird in der Buchführung als Rückstellung erfasst. Hierbei wird der Betrag, der voraussichtlich für die Erfüllung der Gewährleistungsverpflichtung benötigt wird, als Aufwand verbucht.</hinten>"
"Was bedeutet es, wenn eine Gewährleistungsverpflichtung erfüllt werden muss?</vorn>
","Wenn eine Gewährleistungsverpflichtung erfüllt werden muss, bedeutet dies, dass das Unternehmen für Fehler oder Mängel in seinen verkauften Produkten haftet und diese beheben oder den Kaufpreis zurückerstatten muss.</hinten>

<vorn>Wie wird eine Gewährleistungsverpflichtung in der Buchführung erfasst?</vorn>
<hinten>Eine Gewährleistungsverpflichtung wird in der Buchführung als Rückstellung erfasst. Hierbei wird der Betrag, der voraussichtlich für die Erfüllung der Gewährleistungsverpflichtung benötigt wird, als Aufwand verbucht.</hinten>"
"Wie wird eine Gewährleistungsverpflichtung in der Buchführung erfasst?</vorn>
","Eine Gewährleistungsverpflichtung wird in der Buchführung als Rückstellung erfasst. Hierbei wird der Betrag, der voraussichtlich für die Erfüllung der Gewährleistungsverpflichtung benötigt wird, als Aufwand verbucht.</hinten>"
"Was besagt das Realisationsprinzip in der Buchführung?</vorn>
","Das Realisationsprinzip besagt, dass Einnahmen und Ausgaben, die nicht durch Umsätze induziert sind, nur die Bilanz berühren, aber nicht den Erfolg der Unternehmung.</hinten>

<vorn>Was passiert bei der Aufnahme und Tilgung eines Kredits in der Buchführung?</vorn>
<hinten>Bei der Aufnahme und Tilgung eines Kredits werden nur die Bilanzposten verändert, der Erfolg der Unternehmung bleibt unberührt.</hinten>"
"Was passiert bei der Aufnahme und Tilgung eines Kredits in der Buchführung?</vorn>
","Bei der Aufnahme und Tilgung eines Kredits werden nur die Bilanzposten verändert, der Erfolg der Unternehmung bleibt unberührt.</hinten>"
"Was besagt das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Ausgaben und Einnahmen in Aufwendungen und Erträge umgewandelt werden.</hinten>

<vorn>Welcher Grundsatz bezieht sich auf die Nichtbilanzierung schwebender Geschäfte?</vorn>
<hinten>Der Grundsatz der Nichtbilanzierung schwebender Geschäfte besagt, dass diese nicht in der Bilanz erfasst werden.</hinten>

<vorn>Was ist der Zweck des Realisationsprinzips?</vorn>
<hinten>Der Zweck des Realisationsprinzips ist es, Ausgaben und Einnahmen in Aufwendungen und Erträge umzuwandeln.</hinten>"
"Welcher Grundsatz bezieht sich auf die Nichtbilanzierung schwebender Geschäfte?</vorn>
","Der Grundsatz der Nichtbilanzierung schwebender Geschäfte besagt, dass diese nicht in der Bilanz erfasst werden.</hinten>

<vorn>Was ist der Zweck des Realisationsprinzips?</vorn>
<hinten>Der Zweck des Realisationsprinzips ist es, Ausgaben und Einnahmen in Aufwendungen und Erträge umzuwandeln.</hinten>"
"Was ist der Zweck des Realisationsprinzips?</vorn>
","Der Zweck des Realisationsprinzips ist es, Ausgaben und Einnahmen in Aufwendungen und Erträge umzuwandeln.</hinten>"
"Was besagt das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Erträge in der Buchhaltung erst erfasst werden dürfen, wenn sie realisiert sind, also wenn Leistungen erbracht und Zahlungen vereinnahmt wurden.</hinten>

<vorn>Was sind schwebende Geschäfte?</vorn>
<hinten>Schwebende Geschäfte sind zweiseitig verpflichtende Verträge, bei denen eine Leistung erst in der Zukunft erbracht wird und somit noch nicht erfüllt ist.</hinten>

<vorn>Warum werden schwebende Geschäfte nicht in der Bilanz ausgewiesen?</vorn>
<hinten>Schwebende Geschäfte werden nicht in der Bilanz ausgewiesen, um unsichere Erträge zu verhindern und dem Realisationsprinzip zu folgen.</hinten>

<vorn>Was besagt die Ausgeglichenheitsvermutung bei schwebenden Geschäften?</vorn>
<hinten>Während des Schwebezustands besteht eine (widerlegbare) Ausgeglichenheitsvermutung, dass sich Rechte und Pflichten wertmäßig entsprechen.</hinten>"
"Was sind schwebende Geschäfte?</vorn>
","Schwebende Geschäfte sind zweiseitig verpflichtende Verträge, bei denen eine Leistung erst in der Zukunft erbracht wird und somit noch nicht erfüllt ist.</hinten>

<vorn>Warum werden schwebende Geschäfte nicht in der Bilanz ausgewiesen?</vorn>
<hinten>Schwebende Geschäfte werden nicht in der Bilanz ausgewiesen, um unsichere Erträge zu verhindern und dem Realisationsprinzip zu folgen.</hinten>

<vorn>Was besagt die Ausgeglichenheitsvermutung bei schwebenden Geschäften?</vorn>
<hinten>Während des Schwebezustands besteht eine (widerlegbare) Ausgeglichenheitsvermutung, dass sich Rechte und Pflichten wertmäßig entsprechen.</hinten>"
"Warum werden schwebende Geschäfte nicht in der Bilanz ausgewiesen?</vorn>
","Schwebende Geschäfte werden nicht in der Bilanz ausgewiesen, um unsichere Erträge zu verhindern und dem Realisationsprinzip zu folgen.</hinten>

<vorn>Was besagt die Ausgeglichenheitsvermutung bei schwebenden Geschäften?</vorn>
<hinten>Während des Schwebezustands besteht eine (widerlegbare) Ausgeglichenheitsvermutung, dass sich Rechte und Pflichten wertmäßig entsprechen.</hinten>"
"Was besagt die Ausgeglichenheitsvermutung bei schwebenden Geschäften?</vorn>
","Während des Schwebezustands besteht eine (widerlegbare) Ausgeglichenheitsvermutung, dass sich Rechte und Pflichten wertmäßig entsprechen.</hinten>"
"Was besagt das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass der Bilanzansatz von Aktiva und Passiva umfassend geregelt ist.</hinten>

<vorn>Welchen Zweck hat das Objektivierungsprinzip?</vorn>
<hinten>Das Objektivierungsprinzip dient der Rechtssicherheit und verhindert rein subjektive Wertansätze.</hinten>

<vorn>Welche Einschränkung gibt es beim Bilanzansatz durch das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip schränkt den Bilanzansatz durch die Berücksichtigung von Verlusten ein.</hinten>"
"Welchen Zweck hat das Objektivierungsprinzip?</vorn>
","Das Objektivierungsprinzip dient der Rechtssicherheit und verhindert rein subjektive Wertansätze.</hinten>

<vorn>Welche Einschränkung gibt es beim Bilanzansatz durch das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip schränkt den Bilanzansatz durch die Berücksichtigung von Verlusten ein.</hinten>"
"Welche Einschränkung gibt es beim Bilanzansatz durch das Imparitätsprinzip?</vorn>
",Das Imparitätsprinzip schränkt den Bilanzansatz durch die Berücksichtigung von Verlusten ein.</hinten>
"Was ist das Imparitätsprinzip?</vorn>
","Das Imparitätsprinzip besagt, dass alle vorhersehbaren Risiken und Verluste bis zum Abschlussstichtag in der Buchführung berücksichtigt werden sollen.</hinten>

<vorn>Warum ist das Imparitätsprinzip wichtig?</vorn>
<hinten>Das Imparitätsprinzip soll verhindern, dass Ausschüttungen und Entnahmen gemacht werden, die im Verlustfall nicht mehr rückgängig gemacht werden können.</hinten>

<vorn>Welche Bedeutung hat das Imparitätsprinzip für haftungsbeschränkte Unternehmen?</vorn>
<hinten>Das Imparitätsprinzip ist besonders wichtig für haftungsbeschränkte Unternehmen wie AGs oder GmbHs, da einmal getätigte Ausschüttungen nicht mehr rückgängig gemacht werden können und das Kapital dann u.U. zur Deckung zukünftiger Verluste fehlen kann.</hinten>"
"Warum ist das Imparitätsprinzip wichtig?</vorn>
","Das Imparitätsprinzip soll verhindern, dass Ausschüttungen und Entnahmen gemacht werden, die im Verlustfall nicht mehr rückgängig gemacht werden können.</hinten>

<vorn>Welche Bedeutung hat das Imparitätsprinzip für haftungsbeschränkte Unternehmen?</vorn>
<hinten>Das Imparitätsprinzip ist besonders wichtig für haftungsbeschränkte Unternehmen wie AGs oder GmbHs, da einmal getätigte Ausschüttungen nicht mehr rückgängig gemacht werden können und das Kapital dann u.U. zur Deckung zukünftiger Verluste fehlen kann.</hinten>"
"Welche Bedeutung hat das Imparitätsprinzip für haftungsbeschränkte Unternehmen?</vorn>
","Das Imparitätsprinzip ist besonders wichtig für haftungsbeschränkte Unternehmen wie AGs oder GmbHs, da einmal getätigte Ausschüttungen nicht mehr rückgängig gemacht werden können und das Kapital dann u.U. zur Deckung zukünftiger Verluste fehlen kann.</hinten>"
"Wie wird das Imparitätsprinzip II angewendet?</vorn>
","Das Imparitätsprinzip II besagt, dass erwartete Verluste bereits in dem Moment berücksichtigt werden müssen, in dem sie wahrscheinlich sind, auch wenn sie noch nicht eingetreten sind.</hinten>

<vorn>Was ist ein Beispiel für die Anwendung des Imparitätsprinzips II?</vorn>
<hinten>Ein Beispiel für die Anwendung des Imparitätsprinzips II ist die Verlustdeckung. Wenn ein Unternehmen erkennt, dass ein Verlust wahrscheinlich ist, muss es den erwarteten Verlust bereits in der Bilanz berücksichtigen, auch wenn er noch nicht eingetreten ist.</hinten>

<vorn>Wie wird im Beispiel das Imparitätsprinzip II angewendet?</vorn>
<hinten>Im Beispiel investiert die GmbH zunächst in Wertpapiere, die sie gewinnbringend verkaufen kann. Dann investiert sie in Wertpapiere eines anderen Unternehmens, von dem sie erfährt, dass es wahrscheinlich Insolvenz anmelden wird. Die erwarteten Verluste werden bereits in der Bilanz berücksichtigt, indem ein Verlustposten von 100 eingetragen wird.</hinten>"
"Was ist ein Beispiel für die Anwendung des Imparitätsprinzips II?</vorn>
","Ein Beispiel für die Anwendung des Imparitätsprinzips II ist die Verlustdeckung. Wenn ein Unternehmen erkennt, dass ein Verlust wahrscheinlich ist, muss es den erwarteten Verlust bereits in der Bilanz berücksichtigen, auch wenn er noch nicht eingetreten ist.</hinten>

<vorn>Wie wird im Beispiel das Imparitätsprinzip II angewendet?</vorn>
<hinten>Im Beispiel investiert die GmbH zunächst in Wertpapiere, die sie gewinnbringend verkaufen kann. Dann investiert sie in Wertpapiere eines anderen Unternehmens, von dem sie erfährt, dass es wahrscheinlich Insolvenz anmelden wird. Die erwarteten Verluste werden bereits in der Bilanz berücksichtigt, indem ein Verlustposten von 100 eingetragen wird.</hinten>"
"Wie wird im Beispiel das Imparitätsprinzip II angewendet?</vorn>
","Im Beispiel investiert die GmbH zunächst in Wertpapiere, die sie gewinnbringend verkaufen kann. Dann investiert sie in Wertpapiere eines anderen Unternehmens, von dem sie erfährt, dass es wahrscheinlich Insolvenz anmelden wird. Die erwarteten Verluste werden bereits in der Bilanz berücksichtigt, indem ein Verlustposten von 100 eingetragen wird.</hinten>"
"Was besagt das Imparitätsprinzip in der Buchführung?</vorn>
    ","Das Imparitätsprinzip besagt, dass Verluste sofort erfasst werden müssen, während Gewinne erst dann erfasst werden, wenn sie realisiert sind.</hinten>
</card>

<card>
    <vorn>Warum ist das Imparitätsprinzip wichtig?</vorn>
    <hinten>Das Imparitätsprinzip ist wichtig, um die finanzielle Lage eines Unternehmens korrekt darzustellen und einen fairen Vergleich zwischen verschiedenen Perioden zu ermöglichen.</hinten>
</card>

<card>
    <vorn>Welche Auswirkungen hat das Imparitätsprinzip auf die Bilanz?</vorn>
    <hinten>Das Imparitätsprinzip führt dazu, dass Verluste als Verbindlichkeiten oder Wertminderungen ausgewiesen werden, während Gewinne als Eigenkapital oder Rücklagen ausgewiesen werden.</hinten>
</card>"
"Warum ist das Imparitätsprinzip wichtig?</vorn>
    ","Das Imparitätsprinzip ist wichtig, um die finanzielle Lage eines Unternehmens korrekt darzustellen und einen fairen Vergleich zwischen verschiedenen Perioden zu ermöglichen.</hinten>
</card>

<card>
    <vorn>Welche Auswirkungen hat das Imparitätsprinzip auf die Bilanz?</vorn>
    <hinten>Das Imparitätsprinzip führt dazu, dass Verluste als Verbindlichkeiten oder Wertminderungen ausgewiesen werden, während Gewinne als Eigenkapital oder Rücklagen ausgewiesen werden.</hinten>
</card>"
"Welche Auswirkungen hat das Imparitätsprinzip auf die Bilanz?</vorn>
    ","Das Imparitätsprinzip führt dazu, dass Verluste als Verbindlichkeiten oder Wertminderungen ausgewiesen werden, während Gewinne als Eigenkapital oder Rücklagen ausgewiesen werden.</hinten>
</card>"
"Was besagt das Imparitätsprinzip?</vorn>
","Das Imparitätsprinzip besagt, dass mögliche Verluste sofort berücksichtigt werden müssen, während mögliche Gewinne erst dann erfasst werden dürfen, wenn sie realisiert wurden.</hinten>

<vorn>Wie beeinflusst das Imparitätsprinzip die Gewinn- und Verlustrechnung?</vorn>
<hinten>Das Imparitätsprinzip führt dazu, dass Verluste sofort als Aufwand erfasst werden, während Gewinne erst aufgenommen werden, wenn sie realisiert wurden. Dadurch wird sicherstellen, dass Verluste nicht schöngerechnet werden können.</hinten>

<vorn>Welche Auswirkungen hat das Imparitätsprinzip auf die Bilanz?</vorn>
<hinten>Das Imparitätsprinzip bedeutet, dass mögliche Verluste in der Bilanz berücksichtigt werden müssen, indem zum Beispiel eine Abschreibung vorgenommen wird. Dadurch wird sichergestellt, dass die Bilanz ein realistisches Bild der finanziellen Situation des Unternehmens zeigt.</hinten>"
"Wie beeinflusst das Imparitätsprinzip die Gewinn- und Verlustrechnung?</vorn>
","Das Imparitätsprinzip führt dazu, dass Verluste sofort als Aufwand erfasst werden, während Gewinne erst aufgenommen werden, wenn sie realisiert wurden. Dadurch wird sicherstellen, dass Verluste nicht schöngerechnet werden können.</hinten>

<vorn>Welche Auswirkungen hat das Imparitätsprinzip auf die Bilanz?</vorn>
<hinten>Das Imparitätsprinzip bedeutet, dass mögliche Verluste in der Bilanz berücksichtigt werden müssen, indem zum Beispiel eine Abschreibung vorgenommen wird. Dadurch wird sichergestellt, dass die Bilanz ein realistisches Bild der finanziellen Situation des Unternehmens zeigt.</hinten>"
"Welche Auswirkungen hat das Imparitätsprinzip auf die Bilanz?</vorn>
","Das Imparitätsprinzip bedeutet, dass mögliche Verluste in der Bilanz berücksichtigt werden müssen, indem zum Beispiel eine Abschreibung vorgenommen wird. Dadurch wird sichergestellt, dass die Bilanz ein realistisches Bild der finanziellen Situation des Unternehmens zeigt.</hinten>"
"Was besagt das Imparitätsprinzip?</vorn>
","Das Imparitätsprinzip besagt, dass drohende Verluste sofort berücksichtigt werden müssen, Gewinne jedoch erst dann, wenn sie realisiert sind.</hinten>

<vorn>Welche Ausprägungen hat das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip hat verschiedene Ausprägungen, wie das Niederstwertprinzip, das Höchstwertprinzip und die Drohverlustrückstellung.</hinten>

<vorn>Welche Auswirkungen hat das Niederstwertprinzip?</vorn>
<hinten>Das Niederstwertprinzip besagt, dass Vermögensgegenstände zu ihrem niedrigsten Wert bilanziert werden müssen.</hinten>

<vorn>Welche Auswirkungen hat das Höchstwertprinzip?</vorn>
<hinten>Das Höchstwertprinzip besagt, dass Schulden und Verbindlichkeiten zu ihrem höchsten Wert bilanziert werden müssen.</hinten>

<vorn>Was ist eine Drohverlustrückstellung?</vorn>
<hinten>Eine Drohverlustrückstellung ist eine Rückstellung, die für drohende Verluste gebildet wird, die jedoch noch nicht sicher sind.</hinten>"
"Welche Ausprägungen hat das Imparitätsprinzip?</vorn>
","Das Imparitätsprinzip hat verschiedene Ausprägungen, wie das Niederstwertprinzip, das Höchstwertprinzip und die Drohverlustrückstellung.</hinten>

<vorn>Welche Auswirkungen hat das Niederstwertprinzip?</vorn>
<hinten>Das Niederstwertprinzip besagt, dass Vermögensgegenstände zu ihrem niedrigsten Wert bilanziert werden müssen.</hinten>

<vorn>Welche Auswirkungen hat das Höchstwertprinzip?</vorn>
<hinten>Das Höchstwertprinzip besagt, dass Schulden und Verbindlichkeiten zu ihrem höchsten Wert bilanziert werden müssen.</hinten>

<vorn>Was ist eine Drohverlustrückstellung?</vorn>
<hinten>Eine Drohverlustrückstellung ist eine Rückstellung, die für drohende Verluste gebildet wird, die jedoch noch nicht sicher sind.</hinten>"
"Welche Auswirkungen hat das Niederstwertprinzip?</vorn>
","Das Niederstwertprinzip besagt, dass Vermögensgegenstände zu ihrem niedrigsten Wert bilanziert werden müssen.</hinten>

<vorn>Welche Auswirkungen hat das Höchstwertprinzip?</vorn>
<hinten>Das Höchstwertprinzip besagt, dass Schulden und Verbindlichkeiten zu ihrem höchsten Wert bilanziert werden müssen.</hinten>

<vorn>Was ist eine Drohverlustrückstellung?</vorn>
<hinten>Eine Drohverlustrückstellung ist eine Rückstellung, die für drohende Verluste gebildet wird, die jedoch noch nicht sicher sind.</hinten>"
"Welche Auswirkungen hat das Höchstwertprinzip?</vorn>
","Das Höchstwertprinzip besagt, dass Schulden und Verbindlichkeiten zu ihrem höchsten Wert bilanziert werden müssen.</hinten>

<vorn>Was ist eine Drohverlustrückstellung?</vorn>
<hinten>Eine Drohverlustrückstellung ist eine Rückstellung, die für drohende Verluste gebildet wird, die jedoch noch nicht sicher sind.</hinten>"
"Was ist eine Drohverlustrückstellung?</vorn>
","Eine Drohverlustrückstellung ist eine Rückstellung, die für drohende Verluste gebildet wird, die jedoch noch nicht sicher sind.</hinten>"
"Was besagt das Imparitätsprinzip?</vorn>
","Das Imparitätsprinzip besagt, dass Verluste sofort erfasst werden sollten, während Gewinne erst dann erfasst werden sollten, wenn sie realisiert sind.</hinten>

<vorn>Welche Begrenzungen gelten für das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip gilt nicht für alle denkbaren zukünftigen Verluste. Es gilt nur für Verluste, die aus vorhandenen Aktiva, Passiva oder schwebenden Geschäften drohen. Es werden nur werterhellende Tatsachen vor und nach dem Bilanzstichtag berücksichtigt, nicht jedoch wertbegründende Tatsachen.</hinten>"
"Welche Begrenzungen gelten für das Imparitätsprinzip?</vorn>
","Das Imparitätsprinzip gilt nicht für alle denkbaren zukünftigen Verluste. Es gilt nur für Verluste, die aus vorhandenen Aktiva, Passiva oder schwebenden Geschäften drohen. Es werden nur werterhellende Tatsachen vor und nach dem Bilanzstichtag berücksichtigt, nicht jedoch wertbegründende Tatsachen.</hinten>"
"Was ist der Zweck der Grundsätze ordnungsmäßiger Buchführung (GoB)?</vorn>
","Der Zweck der GoB ist die vorsichtige Ermittlung eines umsatzgebundenen, verlustantizipierenden und objektivierten Gewinns.</hinten>

<vorn>Was regelt das Realisationsprinzip?</vorn>
<hinten>Das Realisationsprinzip regelt umfassend Bilanzansatz und Bilanzbewertung und bewirkt, dass der Gewinn eine ""so gut wie sichere"" Vermögensmehrung in verfügbarer Form ist.</hinten>

<vorn>Was besagt das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass Verluste, die ""entstanden"" sind, anders als Gewinne, zum Abschlussstichtag berücksichtigt werden müssen.</hinten>"
"Was regelt das Realisationsprinzip?</vorn>
","Das Realisationsprinzip regelt umfassend Bilanzansatz und Bilanzbewertung und bewirkt, dass der Gewinn eine ""so gut wie sichere"" Vermögensmehrung in verfügbarer Form ist.</hinten>

<vorn>Was besagt das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass Verluste, die ""entstanden"" sind, anders als Gewinne, zum Abschlussstichtag berücksichtigt werden müssen.</hinten>"
"Was besagt das Imparitätsprinzip?</vorn>
","Das Imparitätsprinzip besagt, dass Verluste, die ""entstanden"" sind, anders als Gewinne, zum Abschlussstichtag berücksichtigt werden müssen.</hinten>"
